asv_id,Disease Associated,Healthy Associated,consistent
ASV987,FALSE,FALSE,FALSE
ASV153,FALSE,TRUE,FALSE
ASV907,TRUE,FALSE,FALSE
ASV1340,TRUE,FALSE,FALSE
ASV780,FALSE,FALSE,FALSE
ASV635,FALSE,TRUE,FALSE
ASV43,TRUE,FALSE,TRUE
ASV131,FALSE,FALSE,FALSE
ASV332,FALSE,TRUE,FALSE
ASV724,FALSE,TRUE,FALSE
ASV753,FALSE,TRUE,FALSE
ASV304,FALSE,TRUE,FALSE
ASV9,TRUE,FALSE,TRUE
ASV322,TRUE,FALSE,TRUE
ASV277,FALSE,TRUE,FALSE
ASV40,FALSE,TRUE,TRUE
ASV1036,FALSE,FALSE,FALSE
ASV195,FALSE,TRUE,FALSE
ASV401,FALSE,TRUE,FALSE
ASV1070,FALSE,TRUE,FALSE
ASV412,TRUE,FALSE,FALSE
ASV263,FALSE,TRUE,FALSE
ASV79,FALSE,TRUE,FALSE
ASV776,FALSE,FALSE,FALSE
ASV841,FALSE,TRUE,FALSE
ASV128,FALSE,TRUE,FALSE
ASV1110,FALSE,TRUE,FALSE
ASV1205,TRUE,FALSE,FALSE
ASV1365,FALSE,FALSE,FALSE
ASV1482,FALSE,TRUE,FALSE
ASV1600,FALSE,TRUE,FALSE
ASV17,FALSE,FALSE,FALSE
ASV1904,FALSE,FALSE,FALSE
ASV2133,FALSE,FALSE,FALSE
ASV237,FALSE,TRUE,FALSE
ASV2447,FALSE,FALSE,FALSE
ASV2704,TRUE,FALSE,FALSE
ASV320,FALSE,TRUE,FALSE
ASV428,FALSE,TRUE,FALSE
ASV524,FALSE,TRUE,FALSE
ASV680,FALSE,FALSE,FALSE
ASV810,FALSE,TRUE,FALSE
ASV311,FALSE,TRUE,FALSE
ASV505,FALSE,TRUE,FALSE
ASV203,TRUE,FALSE,TRUE
ASV210,FALSE,FALSE,FALSE
ASV342,FALSE,TRUE,FALSE
ASV1344,FALSE,FALSE,FALSE
ASV817,FALSE,FALSE,FALSE
ASV213,FALSE,FALSE,FALSE
ASV735,FALSE,FALSE,FALSE
ASV713,FALSE,FALSE,FALSE
ASV455,FALSE,FALSE,FALSE
ASV41,TRUE,FALSE,FALSE
ASV433,FALSE,FALSE,FALSE
ASV59,TRUE,FALSE,TRUE
ASV1241,FALSE,FALSE,FALSE
ASV369,FALSE,TRUE,FALSE
ASV484,FALSE,TRUE,FALSE
ASV15,TRUE,FALSE,FALSE
ASV499,FALSE,TRUE,FALSE
ASV574,FALSE,TRUE,FALSE
ASV364,FALSE,FALSE,FALSE
ASV642,FALSE,TRUE,FALSE
ASV60,FALSE,FALSE,FALSE
ASV107,FALSE,TRUE,FALSE
ASV2088,FALSE,TRUE,FALSE
ASV430,FALSE,FALSE,FALSE
ASV110,TRUE,FALSE,TRUE
ASV456,TRUE,FALSE,FALSE
ASV339,FALSE,TRUE,FALSE
ASV1176,FALSE,FALSE,FALSE
ASV837,FALSE,FALSE,FALSE
ASV685,FALSE,TRUE,FALSE
ASV1,FALSE,TRUE,FALSE
ASV112,FALSE,TRUE,FALSE
ASV1251,FALSE,TRUE,FALSE
ASV1366,FALSE,TRUE,FALSE
ASV149,FALSE,TRUE,FALSE
ASV1601,FALSE,TRUE,FALSE
ASV1725,FALSE,FALSE,FALSE
ASV1927,FALSE,FALSE,FALSE
ASV2209,FALSE,FALSE,FALSE
ASV2382,FALSE,TRUE,FALSE
ASV2456,FALSE,FALSE,FALSE
ASV2769,FALSE,FALSE,FALSE
ASV329,FALSE,TRUE,FALSE
ASV454,FALSE,FALSE,FALSE
ASV565,FALSE,TRUE,FALSE
ASV686,FALSE,TRUE,FALSE
ASV819,FALSE,TRUE,FALSE
ASV389,FALSE,TRUE,FALSE
ASV65,FALSE,TRUE,FALSE
ASV26,TRUE,FALSE,TRUE
ASV507,FALSE,TRUE,FALSE
ASV442,FALSE,TRUE,FALSE
ASV141,TRUE,FALSE,FALSE
ASV886,FALSE,FALSE,FALSE
ASV429,FALSE,FALSE,FALSE
ASV689,FALSE,TRUE,FALSE
ASV411,FALSE,FALSE,FALSE
ASV599,TRUE,FALSE,FALSE
ASV116,TRUE,FALSE,FALSE
ASV630,TRUE,FALSE,FALSE
ASV7,TRUE,FALSE,TRUE
ASV1401,TRUE,FALSE,FALSE
ASV425,FALSE,TRUE,FALSE
ASV323,FALSE,FALSE,FALSE
ASV169,TRUE,FALSE,FALSE
ASV512,FALSE,TRUE,FALSE
ASV335,FALSE,FALSE,FALSE
ASV83,TRUE,FALSE,TRUE
ASV84,FALSE,TRUE,FALSE
ASV646,FALSE,TRUE,FALSE
ASV11,FALSE,TRUE,FALSE
ASV2089,FALSE,TRUE,FALSE
ASV871,FALSE,TRUE,FALSE
ASV1132,FALSE,TRUE,FALSE
ASV468,TRUE,FALSE,FALSE
ASV39,TRUE,FALSE,TRUE
ASV302,TRUE,FALSE,FALSE
ASV899,FALSE,FALSE,FALSE
ASV1066,FALSE,FALSE,FALSE
ASV100,FALSE,TRUE,FALSE
ASV1136,FALSE,TRUE,FALSE
ASV1266,FALSE,TRUE,FALSE
ASV1375,FALSE,TRUE,FALSE
ASV1499,FALSE,TRUE,FALSE
ASV161,FALSE,FALSE,FALSE
ASV1732,FALSE,TRUE,FALSE
ASV1928,FALSE,TRUE,FALSE
ASV2217,FALSE,FALSE,FALSE
ASV2388,TRUE,FALSE,FALSE
ASV2484,FALSE,FALSE,FALSE
ASV280,FALSE,TRUE,FALSE
ASV361,TRUE,FALSE,TRUE
ASV48,FALSE,FALSE,FALSE
ASV6,FALSE,TRUE,FALSE
ASV700,TRUE,FALSE,FALSE
ASV824,TRUE,FALSE,FALSE
ASV633,FALSE,TRUE,FALSE
ASV67,FALSE,TRUE,FALSE
ASV693,TRUE,FALSE,TRUE
ASV171,FALSE,TRUE,FALSE
ASV340,FALSE,TRUE,FALSE
ASV176,FALSE,FALSE,FALSE
ASV674,FALSE,FALSE,FALSE
ASV969,FALSE,FALSE,FALSE
ASV271,FALSE,TRUE,FALSE
ASV160,FALSE,FALSE,FALSE
ASV666,FALSE,FALSE,FALSE
ASV385,FALSE,FALSE,FALSE
ASV784,TRUE,FALSE,FALSE
ASV799,FALSE,FALSE,FALSE
ASV868,FALSE,FALSE,FALSE
ASV487,FALSE,TRUE,FALSE
ASV64,FALSE,TRUE,FALSE
ASV351,FALSE,TRUE,FALSE
ASV133,FALSE,FALSE,FALSE
ASV261,TRUE,FALSE,FALSE
ASV264,FALSE,TRUE,FALSE
ASV390,FALSE,TRUE,FALSE
ASV37,FALSE,TRUE,FALSE
ASV1144,FALSE,FALSE,FALSE
ASV269,FALSE,TRUE,FALSE
ASV935,FALSE,FALSE,FALSE
ASV137,TRUE,FALSE,FALSE
ASV202,FALSE,TRUE,FALSE
ASV52,FALSE,TRUE,FALSE
ASV31,TRUE,FALSE,TRUE
ASV915,FALSE,FALSE,FALSE
ASV1563,TRUE,FALSE,FALSE
ASV105,TRUE,FALSE,TRUE
ASV1158,FALSE,TRUE,FALSE
ASV1281,TRUE,FALSE,TRUE
ASV1385,FALSE,TRUE,FALSE
ASV151,FALSE,TRUE,FALSE
ASV1628,FALSE,FALSE,FALSE
ASV1755,FALSE,FALSE,FALSE
ASV1981,FALSE,TRUE,FALSE
ASV223,FALSE,FALSE,FALSE
ASV240,FALSE,TRUE,FALSE
ASV2509,FALSE,FALSE,FALSE
ASV284,TRUE,FALSE,TRUE
ASV388,TRUE,FALSE,TRUE
ASV486,FALSE,TRUE,FALSE
ASV601,TRUE,FALSE,TRUE
ASV707,FALSE,TRUE,FALSE
ASV840,FALSE,FALSE,FALSE
ASV867,FALSE,TRUE,FALSE
ASV406,FALSE,TRUE,FALSE
ASV38,TRUE,FALSE,TRUE
ASV228,FALSE,TRUE,FALSE
ASV238,FALSE,TRUE,FALSE
ASV212,FALSE,FALSE,FALSE
ASV12,TRUE,FALSE,FALSE
ASV378,FALSE,TRUE,FALSE
ASV419,FALSE,FALSE,FALSE
ASV575,FALSE,FALSE,FALSE
ASV669,TRUE,FALSE,FALSE
ASV747,TRUE,FALSE,FALSE
ASV854,FALSE,FALSE,FALSE
ASV306,TRUE,FALSE,FALSE
ASV1229,FALSE,TRUE,FALSE
ASV704,FALSE,TRUE,FALSE
ASV118,TRUE,FALSE,FALSE
ASV457,FALSE,FALSE,FALSE
ASV526,TRUE,FALSE,FALSE
ASV54,TRUE,FALSE,FALSE
ASV93,FALSE,FALSE,FALSE
ASV1472,FALSE,TRUE,FALSE
ASV1182,FALSE,FALSE,FALSE
ASV1159,FALSE,TRUE,FALSE
ASV285,FALSE,FALSE,FALSE
ASV68,FALSE,FALSE,FALSE
ASV201,TRUE,FALSE,TRUE
ASV143,FALSE,TRUE,FALSE
ASV684,FALSE,FALSE,FALSE
ASV1125,TRUE,FALSE,FALSE
ASV239,FALSE,TRUE,FALSE
ASV165,TRUE,FALSE,FALSE
ASV1057,TRUE,FALSE,FALSE
ASV1183,FALSE,TRUE,FALSE
ASV129,FALSE,TRUE,FALSE
ASV1439,FALSE,TRUE,FALSE
ASV1524,FALSE,TRUE,FALSE
ASV1645,TRUE,FALSE,FALSE
ASV1777,FALSE,TRUE,FALSE
ASV1983,FALSE,TRUE,FALSE
ASV226,FALSE,TRUE,FALSE
ASV241,TRUE,FALSE,TRUE
ASV259,FALSE,TRUE,FALSE
ASV292,FALSE,FALSE,FALSE
ASV4,FALSE,TRUE,FALSE
ASV50,FALSE,TRUE,FALSE
ASV610,FALSE,FALSE,FALSE
ASV710,FALSE,TRUE,FALSE
ASV948,FALSE,TRUE,FALSE
ASV1396,FALSE,TRUE,FALSE
ASV802,FALSE,TRUE,FALSE
ASV51,TRUE,FALSE,TRUE
ASV555,FALSE,TRUE,FALSE
ASV25,TRUE,FALSE,TRUE
ASV395,FALSE,TRUE,FALSE
ASV965,TRUE,FALSE,TRUE
ASV603,FALSE,TRUE,FALSE
ASV594,TRUE,FALSE,TRUE
ASV859,FALSE,TRUE,FALSE
ASV71,TRUE,FALSE,FALSE
ASV945,FALSE,FALSE,FALSE
ASV10,TRUE,FALSE,TRUE
ASV319,TRUE,FALSE,FALSE
ASV207,FALSE,TRUE,TRUE
ASV997,FALSE,FALSE,FALSE
ASV205,FALSE,FALSE,FALSE
ASV490,TRUE,FALSE,FALSE
ASV56,TRUE,FALSE,FALSE
ASV191,FALSE,FALSE,FALSE
ASV423,FALSE,FALSE,FALSE
ASV152,FALSE,TRUE,FALSE
ASV1025,FALSE,FALSE,FALSE
ASV1313,FALSE,TRUE,FALSE
ASV291,FALSE,TRUE,FALSE
ASV282,TRUE,FALSE,FALSE
ASV30,TRUE,FALSE,TRUE
ASV167,FALSE,TRUE,FALSE
ASV786,FALSE,FALSE,FALSE
ASV436,FALSE,FALSE,FALSE
ASV520,FALSE,FALSE,FALSE
ASV248,TRUE,FALSE,FALSE
ASV108,TRUE,FALSE,TRUE
ASV1188,FALSE,TRUE,FALSE
ASV1326,FALSE,FALSE,FALSE
ASV1451,TRUE,FALSE,FALSE
ASV1544,FALSE,TRUE,FALSE
ASV1658,FALSE,FALSE,FALSE
ASV1778,TRUE,FALSE,FALSE
ASV2009,FALSE,TRUE,FALSE
ASV2263,FALSE,TRUE,FALSE
ASV2427,FALSE,FALSE,FALSE
ASV2604,FALSE,TRUE,FALSE
ASV3,FALSE,TRUE,FALSE
ASV409,FALSE,TRUE,FALSE
ASV501,FALSE,TRUE,FALSE
ASV616,FALSE,FALSE,FALSE
ASV745,FALSE,FALSE,FALSE
ASV98,FALSE,TRUE,FALSE
ASV178,FALSE,TRUE,FALSE
ASV981,FALSE,TRUE,FALSE
ASV77,TRUE,FALSE,FALSE
ASV1603,FALSE,FALSE,FALSE
ASV286,FALSE,TRUE,FALSE
ASV519,FALSE,FALSE,FALSE
ASV20,TRUE,FALSE,FALSE
ASV179,FALSE,TRUE,FALSE
ASV448,FALSE,FALSE,FALSE
ASV403,FALSE,TRUE,FALSE
ASV720,FALSE,FALSE,FALSE
ASV500,FALSE,FALSE,FALSE
ASV32,TRUE,FALSE,FALSE
ASV653,FALSE,FALSE,FALSE
ASV270,FALSE,TRUE,FALSE
